1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,“ú•t,”N
0,0,0,0,0,0,0,0.521437936,8.864444913,18.25032776,22.42183125,22.42183125,38.42047057,19.81464157,12.51451047,5.735817297,1.564313808,0,0,0,0,0,0,0,1ŒŽ1“ú,2011
0,0,0,0,0,0,0,4.730297819,64.53600309,106.6114848,136.8284632,153.9390525,156.5841502,144.3201419,121.678906,9.125939675,4.213529432,0,0,0,0,0,0,0,1ŒŽ2“ú,2011
0,0,0,0,0,0,0,6.27593343,39.92061826,44.16142257,72.30177947,34.37852555,7.821569041,10.42875872,16.16457602,2.60718968,1.042875872,0,0,0,0,0,0,0,1ŒŽ3“ú,2011
0,0,0,0,0,0,0,3.650065553,11.99307253,35.81217762,70.4880115,61.78079611,30.59435987,47.70251468,27.60547471,16.16457602,4.692941425,0,0,0,0,0,0,0,1ŒŽ4“ú,2011
0,0,0,0,0,0,0,2.60718968,7.300131105,6.257255233,14.60026221,13.0359484,6.257255233,5.214379361,4.692941425,3.128627616,0.521437936,0,0,0,0,0,0,0,1ŒŽ5“ú,2011
0,0,0,0,0,0,0,3.650065553,29.45312562,67.27475026,93.50682799,67.3521438,47.62426367,27.63621061,39.71702798,18.77643525,5.735817297,0,0,0,0,0,0,0,1ŒŽ6“ú,2011
0,0,0,0,0,0,0,5.247066206,59.6541729,101.4553667,132.0487856,149.3673724,151.7609537,140.4752491,114.9678733,11.70044251,5.251735755,0,0,0,0,0,0,0,1ŒŽ7“ú,2011
0,0,0,0,0,0,0,0.521437936,4.692941425,3.650065553,6.257255233,5.735817297,6.778693169,5.735817297,4.171503489,2.60718968,2.085751744,0,0,0,0,0,0,0,1ŒŽ8“ú,2011
0,0,0,0,0,0,0,2.085751744,8.864444913,19.29320364,25.02902093,55.74842367,39.97070612,65.41286221,30.18997225,17.20745189,3.128627616,0,0,0,0,0,0,0,1ŒŽ9“ú,2011
0,0,0,0,0,0,0,2.60718968,15.12170015,19.29320364,27.63621061,54.1572885,59.50046879,59.45324783,21.37895538,16.68601395,6.257255233,0,0,0,0,0,0,0,1ŒŽ10“ú,2011
0,0,0,0,0,0,0,3.650065553,16.5812151,31.1396874,32.66765594,54.36420796,35.27333561,44.69305031,28.61578784,11.99307253,4.692941425,0,0,0,0,0,0,0,1ŒŽ11“ú,2011
0,0,0,0,0,0,0,4.692941425,38.2147574,48.86577601,90.34310316,75.80630724,82.66759392,58.64292878,36.4067791,19.98274535,8.873784012,0,0,0,0,0,0,0,1ŒŽ12“ú,2011
0,0,0,0,0,0,0,6.783362718,54.02442971,122.2508507,136.8931118,153.6339213,155.7870239,144.1820379,118.0943836,12.79468342,6.792701817,0.521437936,0,0,0,0,0,0,1ŒŽ13“ú,2011
0,0,0,0,0,0,0,8.357015625,25.36079061,51.8213295,45.50756925,140.5671945,51.04737305,50.1410947,21.90039332,8.864444913,2.60718968,0,0,0,0,0,0,0,1ŒŽ14“ú,2011
0,0,0,0,0,0,0,2.085751744,4.171503489,4.692941425,8.864444913,15.12170015,14.07882427,35.81598577,12.51451047,7.300131105,1.564313808,0,0,0,0,0,0,0,1ŒŽ15“ú,2011
0,0,0,0,0,0,0,4.171503489,25.57255417,39.87314795,28.15764855,22.94326919,28.15764855,28.15764855,14.07882427,8.864444913,2.60718968,0,0,0,0,0,0,0,1ŒŽ16“ú,2011
0,0,0,0,0,0,0,3.650065553,30.45427962,103.3928357,58.06656812,62.48129856,65.63810789,47.11097324,57.54932566,55.54798629,6.778693169,0,0,0,0,0,0,0,1ŒŽ17“ú,2011
0,0,0,0,0,0,0,1.042875872,3.128627616,7.821569041,20.33607951,38.89840808,28.67908648,49.02170385,22.54266312,21.79572167,6.792701817,0,0,0,0,0,0,0,1ŒŽ18“ú,2011
0,0,0,0,0,0,0,6.778693169,52.05427014,80.43950236,143.3420062,103.5274012,70.07395239,43.44705884,33.7878595,28.40705855,8.399041569,0.521437936,0,0,0,0,0,0,1ŒŽ19“ú,2011
0,0,0,0,0,0,0,3.128627616,11.47163459,61.4170263,55.46233548,36.28606661,22.42183125,8.343006977,10.95019666,10.95019666,2.60718968,0,0,0,0,0,0,0,1ŒŽ20“ú,2011
0,0,0,0,0,0,0,6.266594332,44.28950989,49.49709624,86.20582589,57.66291312,103.6185409,116.3483803,32.21256179,30.10965597,8.343006977,0,0,0,0,0,0,0,1ŒŽ21“ú,2011
0,0,0,0,0,0,0,6.257255233,26.39481314,35.62155267,28.67908648,42.01652763,47.02365179,44.98993684,32.72848263,16.68601395,5.214379361,0,0,0,0,0,0,0,1ŒŽ22“ú,2011
0,0,0,0,0,0,0,1.564313808,7.821569041,26.41105891,18.7717657,26.59333474,50.76464652,39.95949462,20.33607951,8.864444913,5.735817297,0.521437936,0,0,0,0,0,0,1ŒŽ23“ú,2011
0,0,0,0,0,0,0,3.128627616,15.31452764,15.64313808,20.33607951,14.60026221,11.47163459,8.864444913,8.343006977,13.0359484,3.650065553,0,0,0,0,0,0,0,1ŒŽ24“ú,2011
0,0,0,0,0,0,0,4.692941425,19.81464157,28.48973371,54.76078784,49.30829615,27.63621061,11.99307253,11.47163459,9.907320786,2.085751744,0,0,0,0,0,0,0,1ŒŽ25“ú,2011
0,0,0,0,0,0,0,4.176173038,30.0437582,51.25690004,32.62854036,88.37505013,47.95719186,41.51271162,38.38675645,42.45684362,11.47163459,0.521437936,0,0,0,0,0,0,1ŒŽ26“ú,2011
